person,id,condition,floors,date,start_time_ascend,end_time_ascend,step_count_ascend,start_time_descend,end_time_descend,step_count_descend,registered_steps_ascend,registered_steps_descend,registered_floors_ascend,floor yasmin,,floor marjolein
Marjolein,4,walking,1,27-02-2026,14:37:25,14:37:37,22,14:38:15,14:38:27,23,21,23,1,,,
Marjolein,4,walking,1,27-02-2026,15:24:10,15:24:23,23,15:24:45,15:24:57,23,21,22,1,,,
Marjolein,4,walking,1,27-02-2026,15:30:30,15:30:42,22,15:31:05,15:31:17,23,21,23,1,,,
Marjolein,4,slow,1,06-03-2026,14:23:55,14:24:18,23,14:25:15,14:25:41,25,,,,1,,1
Marjolein,4,slow,1,06-03-2026,14:27:15,14:27:49,24,14:28:30,14:29:02,24,,,,1,,1
Marjolein,4,slow,1,06-03-2026,14:31:15,14:31:39,24,14:33:00,14:33:26,23,,,,1,,1
Marjolein,4,slow,1,06-03-2026,15:15:40,15:16:00,24,15:16:35,15:16:58,23,,,,1,,1
Marjolein,4,slow,1,06-03-2026,15:21:50,15:22:13,24,15:22:50,15:23:12,24,,,,1,,1
Marjolein,4,running,2,26-02-2026,15:31:15,15:31:30,47,15:33:10,15:33:23,47,36,16,,,,
Marjolein,4,running,2,26-02-2026,15:38:30,15:38:45,47,15:41:10,15:41:26,47,0,0,,,,
Marjolein,4,running,2,06-03-2026,12:14:15,12:14:28,45,12:16:00,12:16:12,44,,,,0,,0
Marjolein,4,running,2,06-03-2026,12:20:05,12:20:18,44,12:21:05,12:21:17,45,,,,"1,1",,0
Marjolein,4,running,2,06-03-2026,12:24:50,12:25:03,44,12:25:45,12:25:57,45,,,,0,,1
Marjolein,4,walking,2,26-02-2026,15:25:14,15:25:42,46,15:27:00,15:27:28,48,44,50,1,,,
Marjolein,4,walking,2,26-02-2026,15:35:15,15:35:41,44,15:37:15,15:37:43,48,44,48,,,,
Marjolein,4,walking,2,06-03-2026,12:17:50,12:18:19,46,12:18:45,12:19:13,47,,,,"1,1",,"1,1"
Marjolein,4,walking,2,06-03-2026,12:22:35,12:23:00,44,12:23:35,12:24:03,46,,,,"1,1",,"1,1"
Marjolein,4,walking,2,06-03-2026,12:27:15,12:27:40,44,12:28:06,12:28:30,46,,,,"1,1",,"1,1"
Marjolein,4,slow,2,06-03-2026,14:11:35,14:12:25,47,14:13:25,14:14:22,50,,,,"1,1",,"1,1"
Marjolein,4,slow,2,06-03-2026,14:15:45,14:16:49,52,14:17:25,14:18:20,53,,,,1,,"1,1"
Marjolein,4,slow,2,06-03-2026,14:20:00,14:20:49,54,14:21:40,14:22:30,53,,,,"1,1",,"1,1"
Marjolein,4,slow,2,06-03-2026,15:18:10,15:18:49,52,15:19:35,15:20:34,54,,,,"1,1",,"1,1"
Marjolein,4,slow,2,06-03-2026,15:24:25,15:25:17,52,15:26:06,15:27:00,55,,,,"1,1",,"1,1"
Marjolein,4,running,1,,14:02:15,14:02:23,23,14:02:53,14:03:01,23,,,,,,
Marjolein,4,running,1,,14:04:55,14:05:07,23,14:04:22,14:05:34,23,,,,,,
Marjolein,4,running,1,,14:06:05,14:06:12,22,14:06:42,14:06:49,23,,,,,,
Marjolein,4,running,1,,14:09:00,14:09:07,23,14:09:37,14:09:44,25,,,,,,
Marjolein,4,running,1,,14:13:26,14:13:34,24,14:13:04,14:14:11,23,,,,,,
Marjolein,4,walking,1,,14:00:45,14:00:58,23,14:00:28,14:01:42,23,,,,,,
Marjolein,4,walking,1,,14:03:20,14:03:33,22,14:04:01,14:04:12,23,,,,,,
Marjolein,4,walking,1,,14:07:35,14:07:47,22,14:08:19,14:08:30,23,,,,,,
Marjolein,4,walking,1,,14:12:00,14:12:12,22,14:12:42,12:12:56,23,,,,,,
Marjolein,4,walking,1,,14:15:05,14:15:19,23,14:15:49,14:16:02,23,,,,,,
